idType	GeneID	ID	geneSymbol	chr	strand	spliceType	eventRegion	altExon	IncLevel1	IncLevel2	IncLevelDifference	PValue	FDR	novel	pctR10	pctR20	statJCmin	aseType	geneBiotype	transcriptNameExon	inTranscriptId	inTranscriptName	inTranscriptBiotype	outTranscriptId	outTranscriptName	outTranscriptBiotype
ABI3BP_SE_18744	ENSG00000154175.12	18744	ABI3BP	chr3	-	SE	100567644:100567719-100583676:100583751-100585722:100585764	100583676:100583751	0.956	0.791	0.164	4.60441E-10	1.01574E-07	known	1	1	8	NA_SISO	protein_coding	ABI3BP-010( E6 ),ABI3BP-029( E2 ),ABI3BP-001( E11 ),ABI3BP-006( E11 ),ABI3BP-027( E2 ),ABI3BP-002( E11 )	NA	NA	NA	NA	NA	NA
ABI3BP_SE_18746	ENSG00000154175.12	18746	ABI3BP	chr3	-	SE	100570718:100570784-100583676:100583751-100585722:100585764	100583676:100583751	0.775	0.88	-0.104	0.000740931	0.033753826	known	1	0.95	12	NA_SISO	protein_coding	ABI3BP-010( E6 ),ABI3BP-029( E2 ),ABI3BP-001( E11 ),ABI3BP-006( E11 ),ABI3BP-027( E2 ),ABI3BP-002( E11 )	NA	NA	NA	NA	NA	NA
ABI3BP_SE_18747	ENSG00000154175.12	18747	ABI3BP	chr3	-	SE	100581154:100581229-100583676:100583751-100585722:100585764	100583676:100583751	0.85	0.644	0.206	4.25402E-08	6.10733E-06	known	1	1	15	NA_SO	protein_coding	ABI3BP-010( E6 ),ABI3BP-029( E2 ),ABI3BP-001( E11 ),ABI3BP-006( E11 ),ABI3BP-027( E2 ),ABI3BP-002( E11 )	ENST00000284322.5,ENST00000533855.1	ABI3BP-001,ABI3BP-027	protein_coding,protein_coding	NA	NA	NA
ACAD11_A3SS_7602	ENSG00000240303.3	7602	ACAD11	chr3	-	A3SS	132297639:132297725-132297725:132297900-132298335:132298402	132297725:132297900	0.861	0.602	0.26	4.44407E-08	2.16062E-05	known	0.85	0.35	8	NPC_SISO	protein_coding	ACAD11-009( E5 )	ENST00000477604.1,ENST00000510100.1	ACAD11-008,ACAD11-009	retained_intron,nonsense_mediated_decay	ENST00000264990.6,ENST00000485198.1,ENST00000507705.1,ENST00000545291.1	ACAD11-001,ACAD11-002,ACAD11-010,ACAD11-202	protein_coding,nonsense_mediated_decay,processed_transcript,protein_coding
ACAD11_RI_5105	ENSG00000240303.3	5105	ACAD11	chr3	-	RI	132297639:132297725-132297725:132298335-132298335:132298402	132297725:132298335	0.87	0.549	0.322	3.28142E-11	4.44713E-09	known	0.8	0.3	8	NPC_SISO	protein_coding	ACAD11-006( E14 ),ACAD11-003( E14 )	ENST00000469042.1,ENST00000496418.1	ACAD11-003,ACAD11-006	retained_intron,retained_intron	ENST00000264990.6,ENST00000485198.1,ENST00000507705.1,ENST00000545291.1	ACAD11-001,ACAD11-002,ACAD11-010,ACAD11-202	protein_coding,nonsense_mediated_decay,processed_transcript,protein_coding
ACAD11_RI_5106	ENSG00000240303.3	5106	ACAD11	chr3	-	RI	132297639:132297900-132297900:132298335-132298335:132298402	132297900:132298335	0.665	0.41	0.255	0.000864933	0.017568543	known	0.8	0.2	11	NPC_SISO	protein_coding	ACAD11-006( E14 ),ACAD11-003( E14 )	ENST00000469042.1,ENST00000496418.1	ACAD11-003,ACAD11-006	retained_intron,retained_intron	ENST00000477604.1,ENST00000510100.1	ACAD11-008,ACAD11-009	retained_intron,nonsense_mediated_decay
ACADM_SE_31514	ENSG00000117054.9	31514	ACADM	chr1	+	SE	76198522:76198607-76199212:76199313-76200475:76200556	76199212:76199313	0.982	0.859	0.123	4.19039E-05	0.002766472	known	0.95	0.55	2	NPC_SISO	protein_coding	ACADM-006( E4 ),ACADM-201( E4 ),ACADM-009( E5 ),ACADM-005( E5 ),ACADM-001( E5 ),ACADM-015( E4 ),ACADM-002( E6 )	ENST00000370841.4,ENST00000420607.2,ENST00000526129.1,ENST00000526196.1,ENST00000532509.1,ENST00000541113.1	ACADM-001,ACADM-005,ACADM-009,ACADM-006,ACADM-015,ACADM-201	protein_coding,protein_coding,nonsense_mediated_decay,nonsense_mediated_decay,nonsense_mediated_decay,protein_coding	ENST00000529059.1,ENST00000534334.1	ACADM-008,ACADM-010	retained_intron,nonsense_mediated_decay
ACADVL_RI_2455	ENSG00000072778.15	2455	ACADVL	chr17	+	RI	7123440:7123516-7123516:7123782-7123782:7123995	7123516:7123782	0.082	0.231	-0.149	0.000575192	0.01247084	known	0.95	0.85	18	NPC_SISO	protein_coding	ACADVL-013( E2 )	ENST00000578269.1	ACADVL-013	retained_intron	ENST00000322910.5,ENST00000356839.5,ENST00000543245.2,ENST00000577191.1,ENST00000578421.1,ENST00000579286.1,ENST00000579886.2,ENST00000580263.1,ENST00000581562.1,ENST00000582056.1,ENST00000582356.1,ENST00000583312.1,ENST00000584103.1	ACADVL-006,ACADVL-001,ACADVL-007,ACADVL-005,ACADVL-010,ACADVL-009,ACADVL-040,ACADVL-012,ACADVL-039,ACADVL-014,ACADVL-008,ACADVL-037,ACADVL-015	nonsense_mediated_decay,protein_coding,protein_coding,retained_intron,retained_intron,retained_intron,protein_coding,retained_intron,processed_transcript,retained_intron,retained_intron,protein_coding,protein_coding
ACADVL_RI_2458	ENSG00000072778.15	2458	ACADVL	chr17	+	RI	7124084:7124149-7124149:7124242-7124242:7124377	7124149:7124242	0.064	0.21	-0.146	2.12168E-09	1.88601E-07	known	1	1	18	NPC_SISO	protein_coding	ACADVL-016( E3 )	ENST00000582166.1	ACADVL-016	retained_intron	ENST00000322910.5,ENST00000350303.5,ENST00000356839.5,ENST00000543245.2,ENST00000577191.1,ENST00000577433.1,ENST00000579286.1,ENST00000580365.1,ENST00000581378.1,ENST00000581562.1,ENST00000583312.1	ACADVL-006,ACADVL-002,ACADVL-001,ACADVL-007,ACADVL-005,ACADVL-011,ACADVL-009,ACADVL-018,ACADVL-017,ACADVL-039,ACADVL-037	nonsense_mediated_decay,protein_coding,protein_coding,protein_coding,retained_intron,retained_intron,retained_intron,retained_intron,nonsense_mediated_decay,processed_transcript,protein_coding
ACAN_MXE_7273	ENSG00000157766.11	7273	ACAN	chr15	+	MXE	89346989:89347040-89354448:89354646-89369132:89369317-89379430:89379507	89354448:89354646-89369132:89369317	0.907	0.767	0.14	0.000192254	0.01158196	novel	1	0.6	10	NA_SISO	NA	NA( ENA )	NA	NA	NA	NA	NA	NA
ACIN1_SE_58805	ENSG00000100813.10	58805	ACIN1	chr14	-	SE	23550956:23551045-23559190:23559310-23559730:23559842	23559190:23559310	0.627	0.868	-0.241	6.98664E-07	7.56788E-05	known	0.85	0.35	9	PC_SISO	protein_coding	ACIN1-006( E4 ),ACIN1-022( E4 ),ACIN1-003( E4 )	ENST00000262710.1,ENST00000555053.1,ENST00000605057.1	ACIN1-003,ACIN1-006,ACIN1-022	protein_coding,protein_coding,protein_coding	ENST00000457657.1	ACIN1-201	protein_coding
ADAMTSL3_SE_74275	ENSG00000156218.8	74275	ADAMTSL3	chr15	+	SE	84558860:84558999-84559471:84559655-84560080:84560131	84559471:84559655	0.018	0.204	-0.187	0	0	novel	0.8	0.25	9	NA_SI	NA	NA( ENA )	NA	NA	NA	ENST00000286744.5,ENST00000561483.1,ENST00000567476.1	ADAMTSL3-001,ADAMTSL3-003,ADAMTSL3-002	protein_coding,retained_intron,protein_coding
AEBP1_RI_3980	ENSG00000106624.4	3980	AEBP1	chr7	+	RI	44150323:44150408-44150408:44150511-44150511:44150656	44150408:44150511	0.045	0.154	-0.109	1.0786E-10	1.31129E-08	known	1	0.95	17	PC_SO_NPC_SI	protein_coding	AEBP1-008( E2 )	ENST00000434445.1	AEBP1-008	nonsense_mediated_decay	ENST00000223357.3	AEBP1-001	protein_coding
AFF4_SE_12646	ENSG00000072364.8	12646	AFF4	chr5	-	SE	132232014:132232932-132233921:132234084-132234795:132234833	132233921:132234084	0.96	0.823	0.137	5.59053E-11	1.50191E-08	known	1	0.95	7	NPC_SISO	protein_coding	AFF4-005( E7 ),AFF4-001( E10 ),AFF4-004( E10 ),AFF4-008( E4 )	ENST00000265343.5,ENST00000378595.3,ENST00000425658.1,ENST00000478588.1	AFF4-001,AFF4-004,AFF4-005,AFF4-008	protein_coding,protein_coding,protein_coding,processed_transcript	ENST00000378593.2	AFF4-006	processed_transcript
AFF4_SE_63351	ENSG00000072364.8	63351	AFF4	chr5	-	SE	132232014:132232932-132233921:132234057-132234795:132234833	132233921:132234057	0.925	0.702	0.223	7.25247E-11	1.87418E-08	novel	0.85	0.4	7	NA_SI	NA	NA( ENA )	NA	NA	NA	ENST00000378593.2	AFF4-006	processed_transcript
AKAP9_SE_73807	ENSG00000127914.12	73807	AKAP9	chr7	+	SE	91609602:91609647-91610186:91610272-91621471:91621525	91610186:91610272	0.044	0.299	-0.255	0	0	novel	0.9	0.5	10	NA_SI	NA	NA( ENA )	NA	NA	NA	ENST00000356239.3,ENST00000358100.2,ENST00000359028.2,ENST00000394564.1,ENST00000493453.1	AKAP9-001,AKAP9-201,AKAP9-202,AKAP9-002,AKAP9-003	protein_coding,protein_coding,protein_coding,protein_coding,retained_intron
AKAP9_SE_73813	ENSG00000127914.12	73813	AKAP9	chr7	+	SE	91671981:91672085-91672595:91672660-91674321:91674527	91672595:91672660	0.132	0.342	-0.209	3.1453E-05	0.002152445	novel	0.85	0.1	11	NA_SI	NA	NA( ENA )	NA	NA	NA	ENST00000356239.3,ENST00000358100.2,ENST00000359028.2	AKAP9-001,AKAP9-201,AKAP9-202	protein_coding,protein_coding,protein_coding
AKAP9_SE_73814	ENSG00000127914.12	73814	AKAP9	chr7	+	SE	91671981:91672085-91672595:91672691-91674321:91674527	91672595:91672691	0.264	0.538	-0.274	6.28546E-06	0.000522357	novel	0.9	0.6	16	NA_SI	NA	NA( ENA )	NA	NA	NA	ENST00000356239.3,ENST00000358100.2,ENST00000359028.2	AKAP9-001,AKAP9-201,AKAP9-202	protein_coding,protein_coding,protein_coding
AKT3_SE_70381	ENSG00000117020.12	70381	AKT3	chr1	-	SE	243727021:243727150-243727586:243727689-243736227:243736350	243727586:243727689	0.171	0.283	-0.111	1.48329E-07	1.86331E-05	novel	1	1	20	NA_SI	NA	NA( ENA )	NA	NA	NA	ENST00000263826.5,ENST00000336199.5,ENST00000366539.1,ENST00000366540.1	AKT3-201,AKT3-002,AKT3-001,AKT3-007	protein_coding,protein_coding,protein_coding,protein_coding
AL163636.6_MXE_6816	ENSG00000259171.1	6816	AL163636.6	chr14	+	MXE	21152745:21152917-21161705:21161809-21166008:21166105-21167513:21168735	21161705:21161809-21166008:21166105	1	0.887	0.113	1.99192E-05	0.001679989	novel	0.8	0.2	4	NA_SO	protein_coding	AL163636.6-001( E2 )	ENST00000553909.1	AL163636.6-001	protein_coding	NA	NA	NA
ANKHD1_SE_13614	ENSG00000131503.16	13614	ANKHD1	chr5	+	SE	139889603:139889766-139892412:139892508-139892947:139893064	139892412:139892508	0.978	0.876	0.102	0.000122642	0.00700583	known	1	0.75	2	NA_SO	protein_coding	ANKHD1-008( E2 ),ANKHD1-003( E24 ),ANKHD1-001( E23 ),ANKHD1-006( E15 ),ANKHD1-201( E23 ),ANKHD1-007( E12 )	ENST00000246149.6,ENST00000297183.6,ENST00000360839.2,ENST00000412116.1,ENST00000421134.1,ENST00000431508.1	ANKHD1-006,ANKHD1-201,ANKHD1-001,ANKHD1-007,ANKHD1-003,ANKHD1-008	protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding	NA	NA	NA
ANKRD13C_MXE_2771	ENSG00000118454.8	2771	ANKRD13C	chr1	-	MXE	70771906:70771973-70779427:70779473-70781163:70781249-70790535:70790640	70779427:70779473-70781163:70781249	0.64	0.339	0.301	0.000128694	0.00834924	known	0.8	0.3	16	NA_SI	protein_coding	ANKRD13C-001( E5 ),ANKRD13C-002( E4 ),ANKRD13C-003( E1 )	NA	NA	NA	ENST00000498735.1	ANKRD13C-004	processed_transcript
ANKRD13C_SE_31354	ENSG00000118454.8	31354	ANKRD13C	chr1	-	SE	70726270:70728530-70736538:70736639-70740402:70740501	70736538:70736639	0.954	0.805	0.148	3.78861E-07	4.34429E-05	known	0.8	0.15	3	NA_SO	protein_coding	ANKRD13C-001( E12 ),ANKRD13C-002( E11 ),ANKRD13C-005( E3 )	ENST00000262346.6,ENST00000370944.4	ANKRD13C-002,ANKRD13C-001	protein_coding,protein_coding	NA	NA	NA
ANP32A_SE_59440	ENSG00000140350.11	59440	ANP32A	chr15	-	SE	69076735:69076934-69079751:69079834-69080108:69080258	69079751:69079834	0.985	0.848	0.137	4.37532E-08	6.23202E-06	known	1	0.45	4	NA_SO	protein_coding	ANP32A-003( E3 )	ENST00000409628.2	ANP32A-003	nonsense_mediated_decay	NA	NA	NA
ANXA5_RI_2644	ENSG00000164111.10	2644	ANXA5	chr4	-	RI	122617735:122617779-122617779:122618017-122618017:122618130	122617779:122618017	0.076	0.182	-0.106	1.24815E-05	0.000450587	known	0.8	0.15	13	NPC_SISO	protein_coding	ANXA5-011( E1 )	ENST00000511552.1	ANXA5-011	retained_intron	ENST00000296511.5,ENST00000501272.2,ENST00000506395.1,ENST00000513428.1,ENST00000513523.1,ENST00000513728.1,ENST00000515017.1	ANXA5-001,ANXA5-003,ANXA5-005,ANXA5-008,ANXA5-007,ANXA5-012,ANXA5-004	protein_coding,protein_coding,nonsense_mediated_decay,retained_intron,retained_intron,nonsense_mediated_decay,protein_coding
ARFGEF1_SE_45086	ENSG00000066777.4	45086	ARFGEF1	chr8	-	SE	68183936:68184171-68188210:68188344-68189516:68189692	68188210:68188344	1	0.846	0.154	2.96227E-11	8.55089E-09	known	1	0.9	4	NA_SO	protein_coding	ARFGEF1-001( E9 )	ENST00000262215.3	ARFGEF1-001	protein_coding	NA	NA	NA
ARFGEF1_SE_74862	ENSG00000066777.4	74862	ARFGEF1	chr8	-	SE	68183936:68184171-68188000:68188344-68189516:68189692	68188000:68188344	1	0.736	0.264	3.33067E-16	3.22766E-13	novel	0.9	0.3	4	NA_SISO	NA	NA( ENA )	NA	NA	NA	NA	NA	NA
ARFGEF1_SE_74864	ENSG00000066777.4	74864	ARFGEF1	chr8	-	SE	68183936:68184171-68188210:68188453-68189516:68189692	68188210:68188453	1	0.73	0.27	1.77636E-15	1.4388E-12	novel	0.85	0.35	4	NA_SISO	NA	NA( ENA )	NA	NA	NA	NA	NA	NA
ARFIP1_SE_14139	ENSG00000164144.10	14139	ARFIP1	chr4	+	SE	153784757:153784866-153791904:153792000-153793603:153793716	153791904:153792000	0.719	0.856	-0.136	0.000160376	0.008809003	known	0.8	0.15	5	PC_SO_NPC_SI	protein_coding	ARFIP1-001( E4 ),ARFIP1-201( E4 ),ARFIP1-009( E3 ),ARFIP1-008( E3 )	ENST00000353617.2,ENST00000451320.2,ENST00000511289.1,ENST00000513361.1	ARFIP1-201,ARFIP1-001,ARFIP1-008,ARFIP1-009	protein_coding,protein_coding,processed_transcript,processed_transcript	ENST00000356064.3,ENST00000405727.2	ARFIP1-004,ARFIP1-003	protein_coding,protein_coding
ARGLU1_A3SS_23875	ENSG00000134884.9	23875	ARGLU1	chr13	-	A3SS	107209852:107209964-107209964:107210052-107211779:107212005	107209964:107210052	0.955	0.84	0.115	1.33912E-08	8.50379E-06	novel	1	0.75	5	NA_SI	NA	NA( ENA )	NA	NA	NA	ENST00000360629.3,ENST00000375926.1	ARGLU1-003,ARGLU1-002	protein_coding,protein_coding
ARGLU1_A3SS_23876	ENSG00000134884.9	23876	ARGLU1	chr13	-	A3SS	107209852:107209964-107209964:107210107-107211779:107212005	107209964:107210107	0.957	0.839	0.118	1.00034E-08	6.77408E-06	novel	1	0.75	5	NA_SI	NA	NA( ENA )	NA	NA	NA	ENST00000360629.3,ENST00000375926.1	ARGLU1-003,ARGLU1-002	protein_coding,protein_coding
ARGLU1_SE_57090	ENSG00000134884.9	57090	ARGLU1	chr13	-	SE	107209395:107209479-107209906:107209964-107211779:107212005	107209906:107209964	0.037	0.302	-0.265	1.23279E-12	5.14624E-10	known	0.8	0.25	9	PC_SISO	protein_coding	ARGLU1-003( E3 ),ARGLU1-002( E3 )	ENST00000360629.3,ENST00000375926.1	ARGLU1-003,ARGLU1-002	protein_coding,protein_coding	ENST00000400198.3	ARGLU1-001	protein_coding
ARID4B_SE_20640	ENSG00000054267.16	20640	ARID4B	chr1	-	SE	235341170:235341228-235344385:235344499-235344899:235345180	235344385:235344499	0.088	0.396	-0.309	4.34475E-12	1.55119E-09	known	1	0.4	15	NPC_SISO	protein_coding	ARID4B-009( E2 )	ENST00000494543.1	ARID4B-009	processed_transcript	ENST00000264183.3,ENST00000349213.3,ENST00000366603.2,ENST00000421364.1,ENST00000444620.1,ENST00000474953.1,ENST00000491632.1	ARID4B-201,ARID4B-001,ARID4B-004,ARID4B-010,ARID4B-006,ARID4B-012,ARID4B-005	protein_coding,protein_coding,protein_coding,nonsense_mediated_decay,protein_coding,nonsense_mediated_decay,retained_intron
ATP11B_A5SS_1671	ENSG00000058063.11	1671	ATP11B	chr3	+	A5SS	182598666:182598735-182598735:182598769-182602540:182602686	182598735:182598769	0.987	0.866	0.121	0.000125701	0.013470004	known	0.85	0.25	2	NPC_SISO	protein_coding	ATP11B-005( E9 ),ATP11B-009( E2 ),ATP11B-004( E15 ),ATP11B-001( E21 )	ENST00000323116.5,ENST00000482070.1,ENST00000490303.1,ENST00000498086.1	ATP11B-001,ATP11B-009,ATP11B-005,ATP11B-004	protein_coding,protein_coding,retained_intron,protein_coding	ENST00000466758.1	ATP11B-006	nonsense_mediated_decay
BCLAF1_SE_62418	ENSG00000029363.11	62418	BCLAF1	chr6	-	SE	136589299:136589477-136590278:136590330-136590574:136591097	136590278:136590330	0.1	0.25	-0.149	2.43163E-07	2.93897E-05	novel	0.9	0.45	15	NA_SI	NA	NA( ENA )	NA	NA	NA	ENST00000353331.4,ENST00000392348.2,ENST00000527536.1,ENST00000527759.1,ENST00000530767.1,ENST00000531224.1	BCLAF1-202,BCLAF1-011,BCLAF1-005,BCLAF1-006,BCLAF1-010,BCLAF1-003	protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding
BCLAF1_SE_62420	ENSG00000029363.11	62420	BCLAF1	chr6	-	SE	136589299:136589477-136590317:136590441-136590574:136590750	136590317:136590441	0.192	0.43	-0.238	5.60507E-08	7.7202E-06	novel	1	0.75	19	NA_SI	NA	NA( ENA )	NA	NA	NA	ENST00000353331.4,ENST00000392348.2,ENST00000527536.1,ENST00000527759.1,ENST00000530767.1,ENST00000531224.1	BCLAF1-202,BCLAF1-011,BCLAF1-005,BCLAF1-006,BCLAF1-010,BCLAF1-003	protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding
BCLAF1_SE_9782	ENSG00000029363.11	9782	BCLAF1	chr6	-	SE	136589299:136589477-136590278:136590441-136590574:136590750	136590278:136590441	0.287	0.552	-0.265	9.52663E-08	1.25859E-05	known	1	0.8	20	PC_SO_NPC_SI	protein_coding	BCLAF1-012( E2 ),BCLAF1-002( E10 ),BCLAF1-007( E11 ),BCLAF1-009( E10 ),BCLAF1-008( E10 )	ENST00000527613.1,ENST00000529917.1,ENST00000530429.1,ENST00000532384.1,ENST00000534269.1	BCLAF1-008,BCLAF1-012,BCLAF1-009,BCLAF1-002,BCLAF1-007	nonsense_mediated_decay,processed_transcript,nonsense_mediated_decay,nonsense_mediated_decay,nonsense_mediated_decay	ENST00000353331.4,ENST00000392348.2,ENST00000527536.1,ENST00000527759.1,ENST00000530767.1,ENST00000531224.1	BCLAF1-202,BCLAF1-011,BCLAF1-005,BCLAF1-006,BCLAF1-010,BCLAF1-003	protein_coding,protein_coding,protein_coding,protein_coding,protein_coding,protein_coding
BCLAF1_SE_9783	ENSG00000029363.11	9783	BCLAF1	chr6	-	SE	136590399:136590750-136591460:136591521-136593132:136593217	136591460:136591521	0.015	0.161	-0.146	0	0	known	0.95	0.4	7	NPC_SISO	protein_coding	BCLAF1-018( E3 )	ENST00000532076.1	BCLAF1-018	retained_intron	ENST00000353331.4,ENST00000392348.2,ENST00000527536.1,ENST00000527613.1,ENST00000527759.1,ENST00000529826.1,ENST00000530429.1,ENST00000530767.1,ENST00000531224.1,ENST00000532384.1,ENST00000534269.1,ENST00000534792.1	BCLAF1-202,BCLAF1-011,BCLAF1-005,BCLAF1-008,BCLAF1-006,BCLAF1-001,BCLAF1-009,BCLAF1-010,BCLAF1-003,BCLAF1-002,BCLAF1-007,BCLAF1-019	protein_coding,protein_coding,protein_coding,nonsense_mediated_decay,protein_coding,protein_coding,nonsense_mediated_decay,protein_coding,protein_coding,nonsense_mediated_decay,nonsense_mediated_decay,retained_intron
BECN1_A5SS_691	ENSG00000126581.8	691	BECN1	chr17	-	A5SS	40972791:40972859-40975722:40975765-40975765:40975897	40975722:40975765	0.008	0.12	-0.111	1.08285E-06	0.00024005	known	0.8	0.1	3	NPC_SISO	protein_coding	BECN1-010( E2 )	ENST00000591085.1	BECN1-010	nonsense_mediated_decay	ENST00000361523.4,ENST00000438274.3,ENST00000543382.2,ENST00000585515.1,ENST00000589636.1,ENST00000590099.1,ENST00000591307.1,ENST00000593112.1,ENST00000593205.1	BECN1-002,BECN1-003,BECN1-004,BECN1-011,BECN1-008,BECN1-001,BECN1-007,BECN1-006,BECN1-012	protein_coding,protein_coding,retained_intron,retained_intron,protein_coding,protein_coding,retained_intron,retained_intron,protein_coding
BIRC6_A3SS_13865	ENSG00000115760.9	13865	BIRC6	chr2	+	A3SS	32734804:32735061-32735592:32735652-32735652:32735701	32735592:32735652	0.964	0.842	0.122	0.000104546	0.01548669	novel	0.9	0.15	3	NA_SO	protein_coding	BIRC6-007( E2 ),BIRC6-001( E53 )	ENST00000421745.2,ENST00000496555.1	BIRC6-001,BIRC6-007	protein_coding,retained_intron	NA	NA	NA
BIRC6_MXE_1870	ENSG00000115760.9	1870	BIRC6	chr2	+	MXE	32678875:32679010-32688261:32688449-32689576:32689891-32690132:32690232	32688261:32688449-32689576:32689891	0.323	0.114	0.209	5.6405E-07	7.31876E-05	known	0.95	0.55	14	NA_SISO	protein_coding	BIRC6-001( E24 )	NA	NA	NA	NA	NA	NA
BIRC6_SE_21242	ENSG00000115760.9	21242	BIRC6	chr2	+	SE	32658711:32658872-32660563:32660653-32661120:32661252	32660563:32660653	0.941	0.815	0.126	3.45697E-05	0.002330471	known	1	0.55	5	PC_SISO	protein_coding	BIRC6-001( E14 )	ENST00000421745.2	BIRC6-001	protein_coding	ENST00000444173.1	BIRC6-003	protein_coding
