cluster	loglr	df	p	FDR	genes	N	annotation	intron	logef	LowGrade_Cartilage	HighGrade_Cartilage	deltapsi	ensemblID	chr	start	end	verdict	transcripts
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100829664:100830578:clu_60891_-	0.63231152	0.0207934	0.04291478	0.02212138	ENSG00000154175	chr3	100829664	100830578	annotated	ENST00000471714
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100829664:100832264:clu_60891_-	-0.1790793	0.02046376	0.01876222	-0.0017015	ENSG00000154175	chr3	100829664	100832264	annotated	ENST00000471714+ENST00000478235+ENST00000487012+ENST00000528490
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100830634:100832264:clu_60891_-	0.59518555	0.01672004	0.03325027	0.01653023	ENSG00000154175	chr3	100830634	100832264	annotated	ENST00000471714+ENST00000487249+ENST00000495591
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100834773:100835601:clu_60891_-	0.00510034	0.07744885	0.08536937	0.00792051	ENSG00000154175	chr3	100834773	100835601	annotated	ENST00000471714+ENST00000486770+ENST00000487012+ENST00000487249+ENST00000495063+ENST00000495591+ENST00000528490+ENST00000533795+ENST00000534413
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100834773:100846372:clu_60891_-	-0.440764	0.01770093	0.01249242	-0.0052085	ENSG00000154175	chr3	100834773	100846372	annotated	ENST00000466947+ENST00000471714+ENST00000486770+ENST00000495063+ENST00000495591+ENST00000528490
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100835660:100837124:clu_60891_-	0.09896486	0.04837232	0.05856644	0.01019412	ENSG00000154175	chr3	100835660	100837124	annotated	ENST00000471714+ENST00000486770+ENST00000487012+ENST00000487249+ENST00000495063+ENST00000495591+ENST00000533795
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100835660:100846372:clu_60891_-	-0.3860359	0.01034592	0.00771237	-0.0026335	ENSG00000154175	chr3	100835660	100846372	annotated	ENST00000471714+ENST00000486770+ENST00000495063+ENST00000495591+ENST00000528490
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100840858:100841998:clu_60891_-	0.22209905	0.03811963	0.05220079	0.01408116	ENSG00000154175	chr3	100840858	100841998	annotated	ENST00000471714+ENST00000486770+ENST00000495063+ENST00000495591+ENST00000533855
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100840858:100846372:clu_60891_-	0.13673359	0.01204637	0.01514645	0.00310008	ENSG00000154175	chr3	100840858	100846372	novel annotated pair	ENST00000471714+ENST00000486770+ENST00000495063+ENST00000495591+ENST00000533855
chr3:clu_60891_-	656.432948	22	3.42E-264	1.52E-259	ABI3BP	23	cryptic	chr3:100842039:100846372:clu_60891_-	0.22374578	0.03842229	0.05270197	0.01427968	ENSG00000154175	chr3	100842039	100846372	annotated	ENST00000471714+ENST00000486770+ENST00000495063+ENST00000495591+ENST00000533855
chr3:clu_60893_-	163.572912	11	1.64E-63	3.67E-59	ABI3BP	12	cryptic	chr3:100848875:100850045:clu_60893_-	0.12959629	0.22876102	0.24104506	0.01228404	ENSG00000154175	chr3	100848875	100850045	annotated	ENST00000284322+ENST00000471714+ENST00000486770+ENST00000495063+ENST00000533855
chr3:clu_60893_-	163.572912	11	1.64E-63	3.67E-59	ABI3BP	12	cryptic	chr3:100848875:100862311:clu_60893_-	-0.4424922	0.02172249	0.01291728	-0.0088052	ENSG00000154175	chr3	100848875	100862311	novel annotated pair	ENST00000284322+ENST00000471714+ENST00000486770+ENST00000495063+ENST00000533855
chr3:clu_60893_-	163.572912	11	1.64E-63	3.67E-59	ABI3BP	12	cryptic	chr3:100848875:100866879:clu_60893_-	-0.4162553	0.02961379	0.01807798	-0.0115358	ENSG00000154175	chr3	100848875	100866879	novel annotated pair	ENST00000284322+ENST00000471714+ENST00000486770+ENST00000495063+ENST00000533855
chr3:clu_60893_-	163.572912	11	1.64E-63	3.67E-59	ABI3BP	12	cryptic	chr3:100851940:100862311:clu_60893_-	0.1447108	0.16058775	0.17178798	0.01120023	ENSG00000154175	chr3	100851940	100862311	annotated	ENST00000284322+ENST00000471714+ENST00000486770+ENST00000495063+ENST00000533855
chr3:clu_60893_-	163.572912	11	1.64E-63	3.67E-59	ABI3BP	12	cryptic	chr3:100851940:100866879:clu_60893_-	0.25490194	0.02740112	0.03272684	0.00532572	ENSG00000154175	chr3	100851940	100866879	novel annotated pair	ENST00000284322+ENST00000471714+ENST00000486770+ENST00000495063+ENST00000533855
chr3:clu_60893_-	163.572912	11	1.64E-63	3.67E-59	ABI3BP	12	cryptic	chr3:100862385:100862838:clu_60893_-	0.10682984	0.05372538	0.05533607	0.0016107	ENSG00000154175	chr3	100862385	100862838	annotated	ENST00000459682+ENST00000471714+ENST00000495063+ENST00000528305
chr3:clu_60893_-	163.572912	11	1.64E-63	3.67E-59	ABI3BP	12	cryptic	chr3:100862385:100864002:clu_60893_-	-0.0552233	0.01928828	0.01689443	-0.0023938	ENSG00000154175	chr3	100862385	100864002	annotated	ENST00000471714+ENST00000483129+ENST00000495063
chr3:clu_60893_-	163.572912	11	1.64E-63	3.67E-59	ABI3BP	12	cryptic	chr3:100862385:100864833:clu_60893_-	0.06834735	0.06383325	0.06326494	-0.0005683	ENSG00000154175	chr3	100862385	100864833	annotated	ENST00000284322+ENST00000471714+ENST00000483129+ENST00000486770+ENST00000495063+ENST00000528305+ENST00000533855
chr3:clu_60893_-	163.572912	11	1.64E-63	3.67E-59	ABI3BP	12	cryptic	chr3:100862385:100866879:clu_60893_-	-0.0102859	0.0472248	0.04326495	-0.0039598	ENSG00000154175	chr3	100862385	100866879	novel annotated pair	ENST00000284322+ENST00000471714+ENST00000483129+ENST00000486770+ENST00000495063+ENST00000528305+ENST00000533855
chr3:clu_60893_-	163.572912	11	1.64E-63	3.67E-59	ABI3BP	12	cryptic	chr3:100862909:100864002:clu_60893_-	0.09773882	0.08575019	0.08752171	0.00177152	ENSG00000154175	chr3	100862909	100864002	annotated	ENST00000471714+ENST00000495063
chr3:clu_60893_-	163.572912	11	1.64E-63	3.67E-59	ABI3BP	12	cryptic	chr3:100864076:100864833:clu_60893_-	0.07171281	0.09640299	0.09586681	-0.0005362	ENSG00000154175	chr3	100864076	100864833	annotated	ENST00000471714+ENST00000483129+ENST00000495063
chr3:clu_60893_-	163.572912	11	1.64E-63	3.67E-59	ABI3BP	12	cryptic	chr3:100864907:100866879:clu_60893_-	0.05041889	0.16568894	0.16129594	-0.004393	ENSG00000154175	chr3	100864907	100866879	annotated	ENST00000284322+ENST00000471714+ENST00000475896+ENST00000483129+ENST00000486770+ENST00000495063+ENST00000528305+ENST00000533855
chr6:clu_46452_+	65.1298936	3	4.75E-28	7.07E-24	HSP90AB1	4	cryptic	chr6:44247195:44248343:clu_46452_+	-0.8759142	0.00560339	0.00212283	-0.0034806	ENSG00000096384	chr6	44247195	44248343	cryptic_threeprime	.
chr6:clu_46452_+	65.1298936	3	4.75E-28	7.07E-24	HSP90AB1	4	cryptic	chr6:44247195:44248630:clu_46452_+	0.09483411	0.5271741	0.52724185	6.78E-05	ENSG00000096384	chr6	44247195	44248630	annotated	ENST00000371646
chr6:clu_46452_+	65.1298936	3	4.75E-28	7.07E-24	HSP90AB1	4	cryptic	chr6:44247195:44249377:clu_46452_+	0.69110798	0.00685014	0.01243694	0.0055868	ENSG00000096384	chr6	44247195	44249377	novel annotated pair	ENST00000353801+ENST00000371646
chr6:clu_46452_+	65.1298936	3	4.75E-28	7.07E-24	HSP90AB1	4	cryptic	chr6:44248776:44249377:clu_46452_+	0.08997212	0.46037238	0.45819837	-0.002174	ENSG00000096384	chr6	44248776	44249377	annotated	ENST00000353801+ENST00000371554+ENST00000371646+ENST00000620073
chr19:clu_79318_+	66.036425	8	1.05E-24	1.17E-20		9	annotated	chr19:54459369:54459426:clu_79318_+	-1.5084266	0.32338522	0.27110381	-0.0522814	ENSG00000179218	chr19	54459369	54459426	unknown_strand	NA
chr19:clu_79318_+	66.036425	8	1.05E-24	1.17E-20		9	annotated	chr19:54459369:54459482:clu_79318_+	-1.7835588	0.32581582	0.20744323	-0.1183726	ENSG00000179218	chr19	54459369	54459482	unknown_strand	NA
chr19:clu_79318_+	66.036425	8	1.05E-24	1.17E-20		9	annotated	chr19:54459369:54459538:clu_79318_+	0.16084499	1.30E-05	5.80E-05	4.50E-05	ENSG00000125148	chr19	54459369	54459538	unknown_strand	NA
chr19:clu_79318_+	66.036425	8	1.05E-24	1.17E-20		9	annotated	chr19:54459369:54459594:clu_79318_+	-1.2977278	0.31133266	0.32221481	0.01088215	ENSG00000125148	chr19	54459369	54459594	unknown_strand	NA
chr19:clu_79318_+	66.036425	8	1.05E-24	1.17E-20		9	annotated	chr19:54459369:54459650:clu_79318_+	2.69110547	2.23E-06	0.00012443	0.0001222	ENSG00000125148	chr19	54459369	54459650	unknown_strand	NA
chr19:clu_79318_+	66.036425	8	1.05E-24	1.17E-20		9	annotated	chr19:54459425:54459650:clu_79318_+	0.62066447	0.00262381	0.01849267	0.01586886	ENSG00000041982	chr19	54459425	54459650	unknown_strand	NA
chr19:clu_79318_+	66.036425	8	1.05E-24	1.17E-20		9	annotated	chr19:54459481:54459650:clu_79318_+	1.33572181	0.00521631	0.07515822	0.06994191	ENSG00000041982	chr19	54459481	54459650	unknown_strand	NA
chr19:clu_79318_+	66.036425	8	1.05E-24	1.17E-20		9	annotated	chr19:54459537:54459650:clu_79318_+	-0.1683213	0.02116981	0.06778487	0.04661506	ENSG00000041982	chr19	54459537	54459650	unknown_strand	NA
chr19:clu_79318_+	66.036425	8	1.05E-24	1.17E-20		9	annotated	chr19:54459593:54459650:clu_79318_+	-0.0503022	0.01044113	0.03761996	0.02717883	ENSG00000041982	chr19	54459593	54459650	unknown_strand	NA
chr19:clu_77740_+	50.9244884	1	5.99E-24	5.34E-20	CALR	2	cryptic	chr19:12940452:12940541:clu_77740_+	20.5536078	0.99996434	1	3.57E-05	ENSG00000041982	chr19	12940452	12940541	annotated	ENST00000316448+ENST00000586760+ENST00000588454
chr19:clu_77740_+	50.9244884	1	5.99E-24	5.34E-20	CALR	2	cryptic	chr19:12940452:12940592:clu_77740_+	-20.553608	3.57E-05	5.01E-23	-3.57E-05	ENSG00000041982	chr19	12940452	12940592	cryptic_threeprime	.
chr16:clu_31390_+	47.8988659	2	1.58E-21	1.17E-17	MT2A,MT1L	3	cryptic	chr16:56609057:56609263:clu_31390_+	-0.6444433	0.99334934	0.99420937	0.00086003	ENSG00000041982	chr16	56609057	56609263	annotated	ENST00000245185+ENST00000563985+ENST00000567300
chr16:clu_31390_+	47.8988659	2	1.58E-21	1.17E-17	MT2A,MT1L	3	cryptic	chr16:56609057:56618589:clu_31390_+	-0.8309233	0.00661514	0.00549449	-0.0011206	ENSG00000041982	chr16	56609057	56618589	novel annotated pair	.
chr16:clu_31390_+	47.8988659	2	1.58E-21	1.17E-17	MT2A,MT1L	3	cryptic	chr16:56618244:56618589:clu_31390_+	1.47536656	3.55E-05	0.00029614	0.00026062	ENSG00000041982	chr16	56618244	56618589	annotated	ENST00000565768
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115042341:115046410:clu_33307_-	0.03512934	0.14087686	0.14405565	0.00317879	ENSG00000041982	chr9	115042341	115046410	annotated	ENST00000341037+ENST00000350763+ENST00000535648+ENST00000542877+ENST00000544972
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115042341:115059730:clu_33307_-	-0.119796	0.00569112	0.00498431	-0.0007068	ENSG00000041982	chr9	115042341	115059730	annotated	ENST00000341037+ENST00000350763+ENST00000423613
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115042341:115062917:clu_33307_-	-0.149257	0.01255482	0.01067636	-0.0018785	ENSG00000041982	chr9	115042341	115062917	annotated	ENST00000350763+ENST00000423613+ENST00000476680
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115042341:115063796:clu_33307_-	-0.1757552	0.01246973	0.0103267	-0.002143	ENSG00000041982	chr9	115042341	115063796	novel annotated pair	ENST00000341037+ENST00000350763+ENST00000423613
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115042341:115064647:clu_33307_-	-0.2196445	0.00514837	0.0040805	-0.0010679	ENSG00000041982	chr9	115042341	115064647	novel annotated pair	ENST00000341037+ENST00000350763+ENST00000423613+ENST00000544972
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115042341:115073603:clu_33307_-	-0.1830589	0.10083888	0.08290118	-0.0179377	ENSG00000041982	chr9	115042341	115073603	annotated	ENST00000341037+ENST00000350763+ENST00000423613+ENST00000498724+ENST00000535648+ENST00000537320+ENST00000542877
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115046682:115048260:clu_33307_-	0.04178568	0.03925315	0.04040694	0.00115379	ENSG00000041982	chr9	115046682	115048260	annotated	ENST00000350763
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115046682:115057153:clu_33307_-	0.00454399	0.09809177	0.09728371	-0.0008081	ENSG00000041982	chr9	115046682	115057153	annotated	ENST00000341037+ENST00000350763+ENST00000535648+ENST00000542877+ENST00000544972
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115046682:115073603:clu_33307_-	0.11822448	0.00519891	0.00577684	0.00057793	ENSG00000041982	chr9	115046682	115073603	annotated	ENST00000341037+ENST00000350763+ENST00000473855+ENST00000535648+ENST00000542877
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115048532:115052740:clu_33307_-	0.16852454	0.00953407	0.01114043	0.00160636	ENSG00000170144	chr9	115048532	115052740	annotated	ENST00000481475
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115048532:115057153:clu_33307_-	0.18823666	0.02995748	0.03570175	0.00574427	ENSG00000170144	chr9	115048532	115057153	annotated	ENST00000350763
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115053015:115057153:clu_33307_-	0.0864238	0.00577637	0.0062176	0.00044123	ENSG00000170144	chr9	115053015	115057153	annotated	ENST00000535648+ENST00000542877
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115057425:115059730:clu_33307_-	0.05010873	0.10714715	0.11121842	0.00407127	ENSG00000170144	chr9	115057425	115059730	annotated	ENST00000341037+ENST00000350763
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115057425:115064647:clu_33307_-	0.01643206	0.01899223	0.01906103	6.88E-05	ENSG00000154175	chr9	115057425	115064647	annotated	ENST00000341037+ENST00000350763+ENST00000544972
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115060002:115062917:clu_33307_-	0.06427749	0.06786453	0.07144838	0.00358384	ENSG00000154175	chr9	115060002	115062917	annotated	ENST00000350763+ENST00000423613
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115063189:115063796:clu_33307_-	0.03221967	0.09284465	0.09466378	0.00181913	ENSG00000154175	chr9	115063189	115063796	annotated	ENST00000350763+ENST00000423613
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115064068:115064647:clu_33307_-	0.01270305	0.10540887	0.10539698	-1.19E-05	ENSG00000196154	chr9	115064068	115064647	annotated	ENST00000341037+ENST00000350763+ENST00000423613
chr9:clu_33307_-	68.4684998	17	8.57E-21	5.46E-17	TNC	18	cryptic	chr9:115064919:115073603:clu_33307_-	0.02890203	0.14235102	0.14465942	0.0023084	ENSG00000196154	chr9	115064919	115073603	annotated	ENST00000341037+ENST00000350763+ENST00000423613
chr2:clu_39590_+	45.570199	3	1.25E-19	6.95E-16	HNRNPA3	4	cryptic	chr2:177219314:177219408:clu_39590_+	-0.1006713	0.91148638	0.94152945	0.03004307	ENSG00000196154	chr2	177219314	177219408	annotated	ENST00000392524+ENST00000411529+ENST00000432457
chr2:clu_39590_+	45.570199	3	1.25E-19	6.95E-16	HNRNPA3	4	cryptic	chr2:177219314:177222060:clu_39590_+	-0.5961766	0.08555856	0.05384582	-0.0317127	ENSG00000196154	chr2	177219314	177222060	cryptic_threeprime	.
chr2:clu_39590_+	45.570199	3	1.25E-19	6.95E-16	HNRNPA3	4	cryptic	chr2:177219314:177254968:clu_39590_+	0.39322825	0.00035442	0.00059993	0.00024551	ENSG00000196154	chr2	177219314	177254968	cryptic_threeprime	.
chr2:clu_39590_+	45.570199	3	1.25E-19	6.95E-16	HNRNPA3	4	cryptic	chr2:177221976:177222060:clu_39590_+	0.30361959	0.00260064	0.0040248	0.00142417	ENSG00000196154	chr2	177221976	177222060	cryptic_unanchored	NA
chr3:clu_60890_-	40.5840953	2	2.37E-18	1.17E-14	ABI3BP	3	annotated	chr3:100789516:100792691:clu_60890_-	0.06641851	0.38438086	0.40190069	0.01751983	ENSG00000196154	chr3	100789516	100792691	annotated	ENST00000284322+ENST00000470336+ENST00000471714+ENST00000471901+ENST00000487012+ENST00000495591+ENST00000497395
chr3:clu_60890_-	40.5840953	2	2.37E-18	1.17E-14	ABI3BP	3	annotated	chr3:100789516:100794923:clu_60890_-	-0.1226427	0.23037329	0.19937968	-0.0309936	ENSG00000196154	chr3	100789516	100794923	annotated	ENST00000284322+ENST00000470336+ENST00000471714+ENST00000471901+ENST00000486770+ENST00000487012+ENST00000495591+ENST00000497395
chr3:clu_60890_-	40.5840953	2	2.37E-18	1.17E-14	ABI3BP	3	annotated	chr3:100792768:100794923:clu_60890_-	0.05622418	0.38524585	0.39871964	0.01347378	ENSG00000060718	chr3	100792768	100794923	annotated	ENST00000284322+ENST00000470336+ENST00000471714+ENST00000471901+ENST00000487012+ENST00000495591+ENST00000497395
chr1:clu_14119_-	47.8436895	7	8.37E-18	3.73E-14	S100A4,S100A3	8	cryptic	chr1:153544809:153544958:clu_14119_-	0.04735843	0.00861109	0.00892283	0.00031174	ENSG00000060718	chr1	153544809	153544958	annotated	ENST00000368715
chr1:clu_14119_-	47.8436895	7	8.37E-18	3.73E-14	S100A4,S100A3	8	cryptic	chr1:153544809:153545470:clu_14119_-	0.02920882	0.0515535	0.05245904	0.00090553	ENSG00000060718	chr1	153544809	153545470	annotated	ENST00000354332
chr1:clu_14119_-	47.8436895	7	8.37E-18	3.73E-14	S100A4,S100A3	8	cryptic	chr1:153544809:153545480:clu_14119_-	0.08094958	0.0148948	0.01596127	0.00106647	ENSG00000060718	chr1	153544809	153545480	cryptic_fiveprime	.
chr1:clu_14119_-	47.8436895	7	8.37E-18	3.73E-14	S100A4,S100A3	8	cryptic	chr1:153544809:153545753:clu_14119_-	0.19946605	0.39437993	0.47579371	0.08141378	ENSG00000060718	chr1	153544809	153545753	annotated	ENST00000354332+ENST00000368716+ENST00000468373
chr1:clu_14119_-	47.8436895	7	8.37E-18	3.73E-14	S100A4,S100A3	8	cryptic	chr1:153544809:153547767:clu_14119_-	-0.0997525	0.00762185	0.00681735	-0.0008045	ENSG00000060718	chr1	153544809	153547767	cryptic_fiveprime	.
chr1:clu_14119_-	47.8436895	7	8.37E-18	3.73E-14	S100A4,S100A3	8	cryptic	chr1:153544809:153548345:clu_14119_-	-0.1774773	0.03134958	0.02594365	-0.0054059	ENSG00000060718	chr1	153544809	153548345	novel annotated pair	.
chr1:clu_14119_-	47.8436895	7	8.37E-18	3.73E-14	S100A4,S100A3	8	cryptic	chr1:153545518:153545753:clu_14119_-	0.11797557	0.05128145	0.05702606	0.0057446	ENSG00000110841	chr1	153545518	153545753	annotated	ENST00000354332
chr1:clu_14119_-	47.8436895	7	8.37E-18	3.73E-14	S100A4,S100A3	8	cryptic	chr1:153547846:153548345:clu_14119_-	-0.1977287	0.4403078	0.35707609	-0.0832317	ENSG00000110841	chr1	153547846	153548345	annotated	ENST00000368712+ENST00000368713
chr1:clu_13351_-	45.863926	6	1.33E-17	5.37E-14	COL11A1	7	cryptic	chr1:103025613:103025800:clu_13351_-	-0.0637765	0.15850181	0.13863355	-0.0198683	ENSG00000110841	chr1	103025613	103025800	annotated	ENST00000358392+ENST00000427239+ENST00000461720
chr1:clu_13351_-	45.863926	6	1.33E-17	5.37E-14	COL11A1	7	cryptic	chr1:103025613:103025806:clu_13351_-	0.0081875	0.06618984	0.0622127	-0.0039771	ENSG00000110841	chr1	103025613	103025806	cryptic_fiveprime	.
chr1:clu_13351_-	45.863926	6	1.33E-17	5.37E-14	COL11A1	7	cryptic	chr1:103025613:103026216:clu_13351_-	0.24467344	0.2298991	0.27373449	0.04383538	ENSG00000110841	chr1	103025613	103026216	annotated	ENST00000370096+ENST00000461720+ENST00000635193+ENST00000644186+ENST00000645458+ENST00000647280
chr1:clu_13351_-	45.863926	6	1.33E-17	5.37E-14	COL11A1	7	cryptic	chr1:103025613:103031116:clu_13351_-	-0.1318992	0.03924244	0.03206305	-0.0071794	ENSG00000130066	chr1	103025613	103031116	annotated	ENST00000353414+ENST00000358392+ENST00000370096+ENST00000427239+ENST00000461720+ENST00000635193+ENST00000644186+ENST00000645458+ENST00000647280
chr1:clu_13351_-	45.863926	6	1.33E-17	5.37E-14	COL11A1	7	cryptic	chr1:103025952:103026216:clu_13351_-	0.0010923	0.10432196	0.09736033	-0.0069616	ENSG00000130066	chr1	103025952	103026216	annotated	ENST00000461720
chr1:clu_13351_-	45.863926	6	1.33E-17	5.37E-14	COL11A1	7	cryptic	chr1:103025952:103031116:clu_13351_-	-0.1846721	0.10288512	0.07974114	-0.023144	ENSG00000130066	chr1	103025952	103031116	annotated	ENST00000358392+ENST00000427239+ENST00000461720
chr1:clu_13351_-	45.863926	6	1.33E-17	5.37E-14	COL11A1	7	cryptic	chr1:103026332:103031116:clu_13351_-	0.12639454	0.29895973	0.31625475	0.01729502	ENSG00000130066	chr1	103026332	103031116	annotated	ENST00000370096+ENST00000461720+ENST00000512756+ENST00000635193+ENST00000644186+ENST00000645458+ENST00000647280
chr12:clu_22911_+	40.8808462	4	7.37E-17	2.74E-13	PPFIBP1	5	cryptic	chr12:27656730:27658816:clu_22911_+	0.33406202	0.0286279	0.04430237	0.01567448	ENSG00000130066	chr12	27656730	27658816	annotated	ENST00000228425+ENST00000545381
chr12:clu_22911_+	40.8808462	4	7.37E-17	2.74E-13	PPFIBP1	5	cryptic	chr12:27656730:27660884:clu_22911_+	-0.1972234	0.37151557	0.33797165	-0.0335439	ENSG00000117450	chr12	27656730	27660884	annotated	ENST00000228425+ENST00000318304+ENST00000537927+ENST00000540114+ENST00000542629
